process,state_label,state,feller_ratio,z_score,log10_probability,probability,underflows
U.S. (vs. U.K.),long-run mean,0.053,38.39795918367346,187.4914964058098,-7636.062339764507,0.0,True
U.S. (vs. U.K.),half the mean,0.0265,38.39795918367346,132.648915693401,-3823.3870901741802,0.0,True
U.S. (vs. U.K.),1 per cent,0.01,38.39795918367346,81.63236308800589,-1449.346074614308,0.0,True
U.S. (vs. U.K.),0.1 per cent,0.001,38.39795918367346,26.48534951205119,-154.14579954385815,7.148261903541992e-155,False
U.K.,long-run mean,0.074,22.936224489795915,110.77187442336302,-2666.928832828663,0.0,True
U.K.,half the mean,0.037,22.936224489795915,78.40074969676387,-1337.0275524326278,0.0,True
U.K.,1 per cent,0.01,22.936224489795915,40.96412243775962,-366.39770504483675,0.0,True
U.K.,0.1 per cent,0.001,22.936224489795915,13.755524803517758,-42.627231290682765,2.359221456289158e-43,False
U.S. (vs. Germany),long-run mean,0.058,48.53223593964336,203.40044767031085,-8986.4671054232,0.0,True
U.S. (vs. Germany),half the mean,0.029,48.53223593964336,143.91019522854177,-4499.707894903397,0.0,True
U.S. (vs. Germany),1 per cent,0.01,48.53223593964336,84.69521907035568,-1559.984998887754,0.0,True
U.S. (vs. Germany),0.1 per cent,0.001,48.53223593964336,27.60070045819396,-167.26305670545153,5.45686606615454e-168,False
Germany,long-run mean,0.064,6.385487528344671,137.35433430339003,-4099.283088465556,0.0,True
Germany,half the mean,0.032,6.385487528344671,97.14061761118842,-2051.4529575422357,0.0,True
Germany,1 per cent,0.01,6.385487528344671,54.34368428695593,-643.421439975852,0.0,True
Germany,0.1 per cent,0.001,6.385487528344671,17.35234285267808,-67.02373855972675,9.468069567202852e-68,False
