system,state,volatility,volatility_floor,feasible,entries_in_range,max_abs_off_diagonal,min_eigenvalue,min_leading_minor,positive_semidefinite,positive_definite,schur_complement
U.S. vs. U.K.,long-run means,0.103,0.03301331877324757,True,True,0.31251105920339584,0.6833650073329643,0.8913883287560038,True,True,0.9966848924925176
U.S. vs. U.K.,rates doubled,0.103,0.046687883148073026,True,True,0.4419573783170237,0.5507240049879494,0.7892016953129614,True,True,0.9965228897833206
U.S. vs. U.K.,rates halved,0.103,0.023343941574036513,True,True,0.22097868915851185,0.7758290192139258,0.9424462864792323,True,True,0.9967153408017515
U.S. vs. U.K.,volatility halved,0.0515,0.03301331877324757,True,True,0.6250221184067917,0.36178507888280276,0.5847284180770014,True,True,0.9958590404885442
U.S. vs. U.K.,volatility at 4 per cent,0.04,0.03301331877324757,True,True,0.8047159774487442,0.17571660668626893,0.3157015836659563,True,True,0.9934294832685805
U.S. vs. U.K.,"rates tripled, volatility 4 per cent",0.04,0.05718074544173224,False,False,1.393808958603676,-0.4356296123550383,-1.0409080183682355,False,False,
U.S. vs. U.K.,"rates tripled, volatility at its floor",0.05718074544173224,0.05718074544173224,True,True,0.975019788802146,-0.0008831515512080501,-0.001737944978360357,False,False,
U.S. vs. Germany,long-run means,0.107,0.02953639286792602,True,True,0.26321606391707525,0.6390407197745475,0.8763309463348351,True,True,0.993697115607108
U.S. vs. Germany,rates doubled,0.107,0.04177076737740094,True,True,0.37224372742599127,0.5479529758176656,0.8035542537107818,True,True,0.9930871308824123
U.S. vs. Germany,rates halved,0.107,0.02088538368870047,True,True,0.213,0.6956700506099609,0.9127381728842512,True,True,0.993986428084387
U.S. vs. Germany,volatility halved,0.0535,0.02953639286792602,True,True,0.5264321278341505,0.40816952183167526,0.6580542698382295,True,True,0.9915464779928934
U.S. vs. Germany,volatility at 4 per cent,0.04,0.02953639286792602,True,True,0.7041029709781763,0.23972303218000657,0.42853743497198327,True,True,0.9871420032398727
U.S. vs. Germany,"rates tripled, volatility 4 per cent",0.04,0.0511585331195629,False,False,1.219542119494396,-0.2647000965102169,-0.6121143440490544,False,False,
U.S. vs. Germany,"rates tripled, volatility at its floor",0.0511585331195629,0.0511585331195629,True,True,0.9535395525467449,-0.002674544236595755,-0.005455808155929267,False,False,
